game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,artist,category,compilation,designer,expansion,family,publisher,average_rating,users_rated
173634,4,60,13,2,30,The Red Dragon Inn 5,60,2015,"Rose Besch,Beth Trott,Erin Wong","Card Game,Fantasy,Humor,Medieval,Party Game",,"Cliff Bohm,Jeff Morrow,Sam Waller","The Red Dragon Inn: 2016 Promo Drink Cards for Slugcrew,The Red Dragon Inn: Allies – Brother Bastian,The Red Dragon Inn: Allies – Cormac the Mighty,The Red Dragon Inn: Allies – Erin the Ever-Changing,The Red Dragon Inn: Allies – Halden the Unhinged,The Red Dragon Inn: Allies – Keet and Nitrel,The Red Dragon Inn: Allies – Ozrik the Adept,The Red Dragon Inn: Allies – Pooky,The Red Dragon Inn: Allies – Witchdoctor Natyli,The Red Dragon Inn: Allies – Wrench,The Red Dragon Inn: Allies – Zariah the Summoner,The Red Dragon Inn: Eve's Mystery Mead,The Red Dragon Inn: Kickstarter Drink Cards,The Red Dragon Inn: Season 2 Promo Drink Cards for Slugcrew,The Red Dragon Inn: Season 3 Minor Reward Drink Promos,The Red Dragon Inn: Slugcrew 2013 Minor Reward Promo Drink Cards,The Red Dragon Inn: Chronos the Time Mage","Crowdfunding: Kickstarter,The Red Dragon Inn",SlugFest Games,7.71561,253
173648,6,60,10,3,60,Booty,60,2015,"Frank Reynoso,Aaron J. Riley","Card Game,Pirates",,Alexander Cobian,,Admin: Better Description Needed!,Mayfair Games,7.11857,70
173649,5,60,10,2,30,King Chocolate,60,2015,Morgan Dontanville,Economic,,Stefan Alexander,,Games by the Game Artisans of Canada,Mayfair Games,6.72888,205
173666,4,90,12,2,45,Renaissance Wars,90,2015,Jody Boginski-Barbessi,"Card Game,Renaissance",,"Karen Boginski,Jody Boginski-Barbessi",,"Cities: Urbino,Crowdfunding: Kickstarter","U.S. Games Systems, Inc.",6.87798,84
173759,5,90,11,2,60,Cauldron,90,2015,"Alina Marchewka,Polina Radtchenko,Christina Simmons","Economic,Fantasy",,Artem Safarov,,Crowdfunding: Kickstarter,Altema Games,7.34125,160
173761,8,30,17,4,20,Telestrations After Dark,30,2015,,"Humor,Mature / Adult,Party Game,Real-time",,,,,USAopoly,7.18712,372
173770,4,30,13,2,15,Swamped,30,2016,Jonathan Logan Clark,"Card Game,Exploration",,"Jonathan Logan Clark,Benjamin Gerber,Dennis Hoyle",,Crowdfunding: Kickstarter,Bellwether Games,6.18333,114
173800,5,10,10,3,5,Adorable Pandaring,10,2015,"Alanna Cervenak,Maya Lior,Will Pitzer","Animals,Card Game,Party Game",,Chris Cieslik,,"Animals: Pandas,Crowdfunding: Kickstarter",Asmadi Games,5.76295,155
173804,4,45,11,2,20,Gruff,45,2015,"Avery Coleman,Virginia Critchfield",Fantasy,,Brent Critchfield,Gruff: Clash of the Battle Goats,Crowdfunding: Kickstarter,Studio Woe,6.77057,176
173875,10,45,5,2,30,Superfight: The Loot Crate Deck,45,2015,,"Card Game,Fighting,Humor",,Darin Ross,,,Skybound Games,5.79676,152
174064,2,120,12,2,45,Stratego Waterloo,120,2015,,"Abstract Strategy,Bluffing,Deduction,Fighting,Memory,Napoleonic,Wargame",,Jason St.Just,,Stratego Series,"Jumbo,Patch Products",7.88243,74
174065,5,30,10,3,30,Pan tu nie stał! Demoludy,30,2015,Marek Szyszko,"Card Game,Educational,Transportation",,Reiner Knizia,,"Country: Czech Republic,Country: Germany,Country: Hungary,Country: Poland,Country: Slovakia,Country: Soviet Union,Country: Turkey",Egmont Polska,5.25577,52
174078,2,30,10,2,20,Holmes: Sherlock & Mycroft,30,2015,Pedro Soto,"Card Game,Novel-based",,Diego Ibañez,,"Characters: Sherlock Holmes,Kosmos two-player series,LUDO,Mystery Novels","Devir,Devir Americas,KOSMOS,REBEL.pl",7.15561,711
174093,4,20,8,2,20,Maze Racers,20,2015,,"Abstract Strategy,Action / Dexterity,Maze",,Andy Geremia,,,"FoxMind,Gém Klub Kft.",6.95118,169
174155,4,120,12,2,60,Lignum,120,2015,Christoph Clasen,Economic,,Alexander Huemer,"Lignum: Reserve Expansion,Lignum: Spiele-offensive Exclusives","Crowdfunding: Spieleschmiede,Edition Läufer",Mücke Spiele,7.40208,248
174182,2,0,13,2,30,Force of Will,0,2014,,"Card Game,Collectible Components,Fantasy,Fighting",,,Force of Will: Valhalla Cluster,CCGs (Collectible Card Games),"Force Of Will, Inc.",7.37978,136
174192,2,30,10,2,30,Daxu,30,2015,Klemens Franz,Card Game,,J. Alex Kevern,,,White Goblin Games,6.65886,175
174226,5,60,13,1,30,Arctic Scavengers: Base Game+HQ+Recon,60,2015,Martin Hoffmann,"Bluffing,Card Game,Fighting","Arctic Scavengers,Arctic Scavengers: HQ,Arctic Scavengers: Recon",Robert K. Gabhart,,"Arctic Scavengers,Arctic Theme",Rio Grande Games,7.50747,1099
174252,4,0,10,2,60,Vampire Radar,0,2014,Yuji Kaneko,"Bluffing,Deduction,Fighting,Horror",,Yuji Kaneko,,Vampires,"Japon Brand,かぼへる (Kaboheru)",6.61154,65
174260,4,240,16,2,90,Waste Knights,240,2015,"Damian Bajowski,Aleksander Karcz,Piotr Rossa,Michał Teliga","Adventure,Science Fiction",,Marek Mydel,,"Country: Australia,Crowdfunding: Wspieram",Badger's Nest,7.13564,165
174402,4,240,14,2,60,Tide of Iron: Next Wave,240,2014,"Kurt Miller,Mark Schumann","Fighting,Wargame,World War II",,"John Goodenough,Corey Konieczka,Christian T. Petersen","Tide of Iron Promo Cards,Tide of Iron:  Days of the Fox,Tide of Iron: Designer Series Vol. 1,Tide of Iron: Fury of the Bear,Tide of Iron: Normandy,Tide of Iron: Stalingrad","Crowdfunding: Kickstarter,Tide Of Iron",1A Games,8.13687,85
174458,4,45,10,1,45,Baseball Highlights: 2045 – Deluxe Edition,45,2015,"William Bricker,Franz Vohwinkel","Card Game,Science Fiction,Sports","Baseball Highlights: 2045,Baseball Highlights: 2045 – Coach Expansion,Baseball Highlights: 2045 – Hitters Expansion,Baseball Highlights: 2045 – Magna Glove Expansion,Baseball Highlights: 2045 – Pitchers Expansion,Baseball Highlights: 2045 – Rally Cap Expansion,Baseball Highlights: 2045 – Super Deluxe Edition",Mike Fitzgerald,,Sports: Baseball,Eagle-Gryphon Games,8.05991,387
174476,4,15,12,2,10,10' to Kill,15,2015,Pauline Detraz,"Animals,Bluffing,Deduction,Murder/Mystery",,Benoit Bannier,10' to Kill: Expansions,Crowdfunding: Kickstarter,"La Boite de Jeu,REBEL.pl,Zacatrus",6.53336,622
174518,4,90,15,2,60,Ylandyss,90,2015,"Susana Conde,Hector Herrera,David Montero,Bernat Muntés,Chechu Nieto,Evelt Yanait",Fantasy,,Pau Carles,,Crowdfunding: Verkami,DMZ Games,7.57222,135
174524,4,60,12,2,30,Saloon Tycoon,60,2016,Agnieszka Dabrowiecka,American West,,Robert Couch,"Saloon Tycoon: Boomtown Expansions,Saloon Tycoon: The Ranch Expansion",Crowdfunding: Kickstarter,Van Ryder Games,7.39034,383
174570,5,45,17,1,45,Legendary Encounters: A Predator Deck Building Game,45,2015,,"Card Game,Movies / TV / Radio theme,Science Fiction",,"Ben Cichoski,Daniel Mandel",Legendary Encounters: ALIEN Conversion Kit,"Aliens,Legendary,Solitaire Games",Upper Deck Entertainment,7.68291,1416
174584,8,150,14,1,60,Orcs Must Die! The Board Game: Order Edition,150,2016,Rich Fleider,"Fantasy,Fighting,Miniatures,Video Game Theme",,Sandy Petersen,"Orcs Must Die!: Boss Pack,Orcs Must Die!: Minion Pack,Orcs Must Die!: Order Edition – Hero Pack",Crowdfunding: Kickstarter,Petersen Games,7.08242,91
174611,7,40,8,2,20,Ion: A Compound Building Game,40,2015,Tomasz Bogusz,"Card Game,Deduction,Educational,Medical,Party Game",,John Coveyou,,"Admin: Unreleased Games,Crowdfunding: Kickstarter","(Web published),Broadway Toys LTD,Genius Games",6.61007,144
174614,4,0,13,1,30,Apotheca,0,2016,Eduardo Garcia,"Abstract Strategy,Bluffing,Deduction,Puzzle",,Andrew Federspiel,"Apotheca: Tima the Red Promo Card,Santa's Renegades 2016",Crowdfunding: Kickstarter,"Knapsack Games,Renegade Game Studios",7.03366,596
174646,8,150,14,1,60,Orcs Must Die! The Board Game: Unchained Edition,150,2016,Rich Fleider,"Fantasy,Fighting,Video Game Theme",,Sandy Petersen,"Orcs Must Die!: Boss Pack,Orcs Must Die!: Minion Pack,Orcs Must Die!: Unchained Edition – Hero Pack","Admin: Unreleased Games,Crowdfunding: Kickstarter",Petersen Games,6.99885,52
174660,4,60,8,2,30,New York 1901,60,2015,Vincent Dutrait,City Building,,Chénier La Salle,"New York 1901: Flatiron,New York 1901: Goons of New York,New York 1901: Painted Figures","Cities: New York (New York, USA),Country: USA,Mensa Select,Polyominoes","ADC Blackfire Entertainment,Bard Centrum Gier,Blue Orange Games,Competo / Marektoy,Lifestyle Boardgames Ltd,Swan Panasia Co., Ltd.",7.00862,3116
174744,5,45,13,3,45,Mogul,45,2015,Marcel-André Casasola Merkle,"Economic,Trains",,Michael Schacht,,,Rio Grande Games,6.92827,380
174785,5,120,14,3,90,Mare Nostrum: Empires,120,2016,Jean-Marie Minguez,"Ancient,Civilization,Economic",,Serge Laget,"Mare Nostrum: Empires - Mythical Beasts Expansion Tiles,Mare Nostrum: Empires Kickstarter Exclusives,Mare Nostrum: Empires – Atlas Expansion,Mare Nostrum: Empires – Heroes of the Bible,Mare Nostrum: Empires – Starting Heroes,Mare Nostrum: Empires – Theseus Promo Card","Components: Miniatures,Crowdfunding: Giochistarter,Crowdfunding: Kickstarter","Academy Games,ASYNCRON games,Ediciones MasQueOca,Giochix.it,PHALANX,Schwerkraft-Verlag",7.7934,1613
174802,5,120,13,1,60,VENOM Assault,120,2016,"Phil Cho,Roberto Garcia,Roger Bonet Martinez","Card Game,Fighting",,"Jeff Arbough,Michael Knight,Dave Ploense",,Crowdfunding: Kickstarter,Spyglass Games,7.69697,66
174852,6,0,13,2,30,Pandánte (Second Edition),0,2015,Jeannie Lee,"Bluffing,Card Game","Pandánte,Pandánte: Light & Dark",David Sirlin,,"Animals: Pandas,Crowdfunding: Kickstarter",Sirlin Games,7.82557,88
174893,5,30,8,3,20,TROLL,30,2015,,Bluffing,,Kouji Kimura,,,Oink Games,6.53988,173
174926,4,0,10,2,30,Wizards of the Wild: Deluxe Edition,0,2015,,"Card Game,Dice,Fantasy",,Adam West,,Crowdfunding: Kickstarter,CrossCut Games,6.93022,103
174973,4,30,13,2,20,Boss Monster 2: The Next Level,30,2015,Darren Calvert,"Card Game,City Building,Expansion for Base-game,Fantasy,Video Game Theme",,"Johnny O'Neal,Chris O'Neal","Boss Monster:  Final Form! Promo Card,Boss Monster: Crash Landing,Boss Monster: Hidden Secrets,Boss Monster: Implements of Destruction,Boss Monster: Klonos Promo Card,Boss Monster: König Croak Promo Card,Boss Monster: Mirrax Promo Card,Boss Monster: Paper & Pixels,Boss Monster: Portable Pack,Boss Monster: Reactor Core,Boss Monster: The Lost Levels,Boss Monster: Tools of Hero-Kind","Boss Monster,Crowdfunding: Kickstarter","Brotherwise Games,Fever Games,Pegasus Spiele",6.86057,1389
174988,16,15,5,1,5,4 en Letras,15,2014,,"Card Game,Word Game",,Daniel Ortiz Lausin,,,Edge Entertainment,6.33276,58
174990,5,90,13,2,60,Builders of Blankenburg,90,2016,Liz Stephanoff,"City Building,Medieval",,Peter Schultz,Builders of Blankenburg: Cutthroat,Crowdfunding: Kickstarter,Cobblestone Games,7.57866,82
174991,6,60,7,2,15,JunKing,60,2015,Justin Hillgrove,"Card Game,Humor",,David Gerrard,JunKing: Mini Expansion,Crowdfunding: Kickstarter,Junk Spirit Games,6.71474,95
175088,6,0,7,2,20,Pharaoh's Gulo Gulo,0,2015,Eva Czerwenka,Children's Game,,"Jürgen P. Grunau,Wolfgang Kramer,Hans Raggan",,Country: Egypt,"Broadway Toys LTD,HABA - Habermaaß GmbH",6.94869,168
175090,9,45,14,4,45,Game of Crowns,45,2015,Pascal Quidault,"Card Game,Negotiation",,Remo Conzadori,,,Alderac Entertainment Group (AEG),4.93667,72
175095,4,180,13,1,60,Dawn of the Zeds (Third edition),180,2016,Clark Miller,"Horror,Zombies",,Hermann Luttmann,"Dawn of the Zeds: Ernie ""The Geek"" Promo","Crowdfunding: Kickstarter,Solitaire Games,Victory Point Games States of Siege Series",Victory Point Games,8.41381,381
175117,6,30,8,2,30,Celestia,30,2015,Gaetan Noir,"Adventure,Aviation / Flight,Card Game",,Aaron Weissblum,"Celestia: A Little Help,Celestia: Grappling Hook Promo",3D Games,"ABBA Games,ADC Blackfire Entertainment,BLAM !,Ghenos Games,Heidelberger Spieleverlag,hobbity.eu,Jolly Thinkers,Ludofy Creative,Quick Simple Fun Games,Zhiyanjia",7.13322,2781
175121,2,30,10,2,15,Adventure Time Card Wars: Ice King vs. Marceline,30,2015,,"Card Game,Humor,Movies / TV / Radio theme",,"Richard Brady,Cory Jones",Adventure Time Card Wars: Sundae School,TV Series: Adventure Time,Cryptozoic Entertainment,6.61591,66
175150,8,40,14,4,20,Casting,40,2015,Olivier Fagnère,"Movies / TV / Radio theme,Party Game",,Romaric Galonnier,,,Blue Cocker Games,6.34069,58
175155,4,180,14,2,120,Forbidden Stars,180,2015,,"Bluffing,Dice,Fighting,Miniatures,Science Fiction,Wargame",,"Samuel Bailey,James Kniffen,Corey Konieczka",,"Components: Miniatures,Fantasy Flight Big Box,Warhammer 40,000 Board Games","Asterion Press,Edge Entertainment,Fantasy Flight Games,Galakta,Heidelberger Spieleverlag",8.06745,3764
175177,2,30,0,2,15,Ogre: Objective 218,30,2016,Brandon Moore,"Card Game,Wargame",,Darwin Kastle,,"Admin: Better Description Needed!,Ogre/GEV Family","Steve Jackson Games,Your Move Games",6.83359,64
175199,5,30,13,2,15,Mottainai,30,2015,"Alanna Cervenak,Carl Chudyk",Card Game,,Carl Chudyk,Mottainai: Wutai Mountain,Tableau Building,"Asmadi Games,Ludofy Creative",7.08542,2009
175209,6,120,0,2,60,Darkness Comes Rattling,120,2015,,Fantasy,,"Mason Crawford,Aaron Darland,Justin Gibbs,David Hanold,Kevin Wilson",,Admin: Better Description Needed!,Wyrd Miniatures,6.83714,70
175221,6,30,12,3,30,Orphan Black: The Card Game,30,2015,,"Bluffing,Card Game,Deduction,Movies / TV / Radio theme,Science Fiction",,"Jay Cormier,Sen-Foong Lim",,"Admin: Better Description Needed!,Games by the Game Artisans of Canada","IDW Games,Pandasaurus Games",6.37549,51
175222,6,0,14,2,10,Lost Legacy: Third Chronicle – Sacred Grail & Staff of Dragons,0,2015,Jessada Sutthi,"Bluffing,Card Game,Deduction",,"Seiji Kanai,Hayato Kisaragi",,Lost Legacy,"Alderac Entertainment Group (AEG),Devir",6.95502,247
175223,4,45,14,1,45,Valley of the Kings: Afterlife,45,2015,Banu Andaru,"Ancient,Card Game",,Tom Cleaver,,"AEG: Pocket Game,Country: Egypt","Alderac Entertainment Group (AEG),Devir",7.48534,865
175224,2,10,14,2,10,Rumpelstiltskin,10,2015,Felicia Cano,"Bluffing,Card Game,Deduction,Fantasy",,Nate Heiss,,,Alderac Entertainment Group (AEG),5.90816,147
175239,5,30,10,2,30,Machi Koro: Deluxe Edition,30,2015,Noboru Hotta,"Card Game,City Building,Dice","Machi Koro,Machi Koro: Harbor,Machi Koro: Millionaire's Row",Masao Suganuma,,Machi Koro,"IDW Games,Pandasaurus Games",7.22,1467
175265,4,30,8,2,15,Piñata Party,30,2015,"Herendi-Hárshegyi Judit,Attila Szőgyi",Math,,Hegedűs Csaba,"Piñata party: Essen extra promo,Piñata party: Essen promo,Piñata party: JEM promo",Admin: Unreleased Games,A-games (Board Game),6.49434,53
